HTTrack3.49-2+htsswf+htsjava launched on Tue, 18 Jul 2017 12:42:29 at https://www.rabbitsreviews.com/ https://www.rabbitsreviews.com/Default.aspx +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv
(winhttrack -Wr3%e3C2%Ps2u1k%s%uN0%I0p3DaK0c8H0%kf2A5000000%c10#L5000000%f0#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" -P 192.168.2.229:8080 https://www.rabbitsreviews.com/ https://www.rabbitsreviews.com/Default.aspx -O1 "K:\rabbit\rabbit" +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

13:31:34	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c88/most-popular.html (from https://www.rabbitsreviews.com/)
13:31:34	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c88/most-popular.html
13:31:34	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c7/18-23.html (from https://www.rabbitsreviews.com/)
13:31:34	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c7/18-23.html
13:31:34	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c9/Lesbian.html (from https://www.rabbitsreviews.com/)
13:31:34	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c9/Lesbian.html
13:31:34	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c27/Mature.html (from https://www.rabbitsreviews.com/)
13:31:34	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c27/Mature.html
13:31:34	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c32/Reality.html (from https://www.rabbitsreviews.com/)
13:31:34	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c32/Reality.html
13:31:34	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c29/Shemale.html (from https://www.rabbitsreviews.com/)
13:31:34	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c29/Shemale.html
13:31:38	Warning: 	Retry after error -4 (Connect Error) at link browser-update.org/update.min.js (from https://www.rabbitsreviews.com/)
13:31:39	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/mystuff.aspx?tab=login (from https://www.rabbitsreviews.com/Default.aspx)
13:31:40	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/mystuff.aspx?tab=register (from https://www.rabbitsreviews.com/Default.aspx)
13:31:40	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/specialprices.aspx (from https://www.rabbitsreviews.com/Default.aspx)
13:31:40	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/porn-trials.html (from https://www.rabbitsreviews.com/Default.aspx)
13:31:42	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/AboutUs.aspx (from https://www.rabbitsreviews.com/Default.aspx)
13:31:43	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/s26057/Teen-Pies.html (from https://www.rabbitsreviews.com/Default.aspx)
13:31:44	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/OpenSite.aspx?SiteID=26057&mid=4471 (from https://www.rabbitsreviews.com/Default.aspx)
13:31:45	Error: 	"Not Found" (404) at link https://www.rabbitsreviews.com/outgoing/default/ (from https://www.rabbitsreviews.com/Default.aspx)
13:31:53	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/porn-trials.html
